Code,F_Start,Acct_type,NI_FQ_4,NI_FQ_3,NI_FQ_2,NI_FQ_1,NI_FQ0,Equity_FQ0,NI_FY0,NI_FY1,Equity_FY1,NI_FY2,Equity_FY2,NI_FQ1,NI_FQ2,NI_FY1_1M,Equity_FY1_1M,NI_FY2_1M,Equity_FY2_1M,NI_FQ1_1M,NI_FQ2_1M
A001430,12,1,46.85,44.25,44.24,44.86,23.19,1342.41,226.56,140.93,1381.37,144.52,1484.42,28.37,29.72,132.33,1355.64,125.78,1445.73,19.69,22.37
A003240,12,0,57.2,-26.72,8.09,-3.28,-6.64,2131.62,295.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A101060,12,0,-1.28,6.91,9.05,-0.19,0.91,528.45,61.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A005180,12,0,21.06,-3.23,6.1,23.08,28.91,444.92,42.03,58.26,442.6,67.9,498.7,0.51,7.73,55.55,440.25,64.44,498.15,-0.04,7.89
A069260,12,0,14.84,4.57,11.2,17.81,12.49,447.19,51.09,59.26,468.82,84.8,520.81,16.88,35.75,58.2,467.47,83.44,517.8,15.84,69.55
A130960,12,2,9.74,12.47,2.53,34.8,7.97,1225.12,56.56,58.25,1217.46,64.15,1279.27,15,4.35,57.07,1209.18,60.11,1256.89,13.55,3.21
A103140,12,2,-5.51,-18.01,17.8,10.16,21.19,977.66,40.68,79.91,1009.39,106.39,1100.95,29.45,20.05,79.34,1009.29,104.82,1100.78,31.1,20.27
A122900,12,0,8.32,7.35,8.26,10.92,9.46,308.91,34.53,40.12,319.93,53.34,366.24,10.67,11.15,39,NA,57,NA,10.6,11.9
A022100,12,0,9.45,7.33,-0.65,8.49,11.75,254.11,28.53,38.6,275.55,65.7,341.45,19.55,12.71,40.2,NA,59.6,NA,NA,NA
A006040,12,2,0.1,26.45,22.4,35.42,28.85,544.57,68.38,110.73,563.9,126.63,674.6,29.32,27.68,112.2,NA,135.9,NA,NA,NA
A028150,12,0,21.17,-10.61,24.48,20.98,27.23,654.3,202.37,99.4,681.55,114.31,775.62,27.76,28.89,99.93,679.81,113.61,772.91,29.49,30.03
A001680,12,0,7.15,14.65,19.25,24.38,33.96,587.15,55.49,90.17,597.9,96.18,688.13,9.9,17.32,91.83,602.59,93.55,692.52,14.24,19.92
A093050,12,0,7.21,38.52,21.41,26.2,-2.82,869.23,96.3,86.79,907.9,111.12,1009.96,41.69,26.92,84.67,898.22,108.82,997.56,39.09,25.21
