Code,Name,Mkt Cap,Float Rate,WICS1,WICS2,WICS3,Jaebul,Last,YTD Max,YTD Min,YTD Avg,Ret1D,Ret1W,Ret1M,Ret3M,Ret6M,Ret12M,Turnover_1D,Turnover_5D,Turnover_20D,Turnover_52W,Inst_1D,Inst_5D,Inst_20D,Inst_60D,Inst_120D,Inst_250D,Sec_1D,Sec_5D,Sec_20D,Sec_60D,Sec_120D,Sec_250D,Fund_1D,Fund_5D,Fund_20D,Fund_60D,Fund_120D,Fund_250D,Pension_1D,Pension_5D,Pension_20D,Pension_60D,Pension_120D,Pension_250D,Others_1D,Others_5D,Others_20D,Others_60D,Others_120D,Others_250D,Foreign_1D,Foreign_5D,Foreign_20D,Foreign_60D,Foreign_120D,Foreign_250D
A034300,신세계건설,45,0.5728,산업재,자본재,건설,신세계,11250,16200,10250,13331,0.009,0,0.0369,-0.0217,-0.1758,-0.25,69.055795,62.44155,48.147225,68.815219,0,0,-141.03,-652.8,-925.29,-1365.69,0,0,-0.18,-15.19,-6.64,-7.25,0,0,-20.51,-76.05,-18.13,-18.28,0,0,0,0,0,0,0,0,0,-9.36,-17.28,-232.34,0,5.57,-15.27,-31.74,-1678.33,-1693.01
A034310,NICE,219.9705852,0.4702,금융,기타금융서비스,신용평가서비스,,63600,68000,47000,52470,0.0258,-0.0063,0.06,0.167,0.306,0.2471,215.002512,637.51952,423.782645,214.60019,-13.33,-429.3,-301.65,11187.23,15004.05,15885.44,-118.18,-227.69,-226.44,-728.28,-26.03,-106.82,-119.03,-814.96,-1369.9,6510.08,9193.33,10105.58,5.68,81.06,416.14,1274.94,1274.94,1274.94,49.76,16.19,-297.7,-1569.1,-2386.73,-2893.5,0.7,348.83,-653.41,-14046.69,-16702.39,-16895.39
A034590,인천도시가스,88,0.2227,유틸리티,유틸리티,가스유틸리티,,22000,23500,18700,21404,-0.0135,-0.0476,-0.0351,-0.0222,0.0732,0.0451,29.050035,87.87111,47.468345,29.0493,-10.94,-10.94,-11.17,-58.35,-83.21,56.11,0,0,-0.23,-52.01,-106.12,-108.6,-10.94,-10.94,-10.94,-6.34,22.92,148.83,0,0,0,0,0,0,0,203.28,298.71,298.71,299.6,310.45,0,0,0,0,0,-50.73
A034730,SK C&C,5150,0.419,IT,소프트웨어와서비스,IT서비스,SK,103000,137000,81200,106250,0.0049,0.0049,0.0763,0.0321,0.0098,-0.1345,14022.69329,8444.5508,7266.808435,14066.88107,-1521.64,-1643.44,3096.66,15029.76,-57799.09,-176230.62,-385.07,2773.78,4301.61,8636.25,9884.55,8305.93,542.13,6915.09,9274.26,16338.01,-21165.81,-123970.66,29.04,-10991.37,-11204.32,-12025.86,-44715.79,-59681.95,91.91,-465.9,-671.03,-332.17,130457.35,197473.67,2026.23,8093.03,24911.4,15173.92,3798.1,3108.99
A034810,해성산업,307.092,0.336,금융,부동산,부동산,,31400,37950,23250,32220,0.0032,0.0048,0.0145,-0.0157,-0.1456,0.3221,402.711629,367.58877,322.951313,406.258248,0,0,-66.36,-66.36,-101.86,-243.25,0,0,-66.36,-66.36,-66.36,-207.75,0,0,0,0,0,0,0,0,0,0,-35.5,-35.5,0,0,-150.65,-40.05,106.62,1408.62,-0.34,0.26,42.52,268.77,286.59,-179.2
A034830,한국토지신탁,333.2857836,0.2869,금융,부동산,부동산,,1320,1470,742,1148,-0.0038,-0.0365,0.0518,0.1579,-0.0469,0.76,1350.044385,1387.900733,1954.29314,1345.125929,-18.82,-392.65,2310.05,3210.16,3134.04,2948.17,-19.49,-326.86,341.85,345.85,350.07,335.73,0.68,-105.49,237.28,1051.31,1083.1,1132.87,0,0,1274.04,1287.78,1287.78,2178.91,44.17,225.03,129.08,-989.15,287.69,1044.67,16.39,32.1,-363.12,1458.43,1341.48,11045.13
A034940,조아제약,127.3960395,0.7858,건강관리,제약과생물공학,제약,,4500,8300,4010,5016,0.009,0.0345,0.0441,-0.011,-0.0456,-0.162,6215.0758,984.618417,2280.298937,6234.913747,0,0,0,-13.49,-18.1,-8.29,0,0,0,-20.11,-20.11,-17.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.06,80.62,21.3,66.51,32.53,346.64,636.44,475.04,774.41,323.53
A034950,한국기업평가,151.1991162,0.2402,금융,기타금융서비스,신용평가서비스,,33300,34500,20300,28691,0.0076,-0.003,0.0215,0.0742,0.1463,0.6404,62.774962,71.14561,51.668255,62.626271,-12.56,-12.56,-12.56,-1.76,102.24,308.33,0,0,0,-1.45,-0.77,-0.47,-12.56,-12.56,-12.56,-10.05,93.27,348.5,0,0,0,0,0,0,-25.67,-12.25,-24.47,-37.25,-56.26,72.6,142.54,109.71,241.38,-14.06,-820.44,-1708.24
A035000,GⅡR,109.6762476,0.6282,경기관련소비재,미디어,광고,LG,6620,9020,6280,7535,-0.0119,-0.0045,0.0376,-0.0265,-0.0502,-0.2477,38.051754,31.087392,19.774858,37.953257,0.8,16.72,18.72,-67.29,-100.47,-1409.48,0,-0.04,8.87,-94.43,-84.97,-78.91,0,6.98,0.07,-50.01,-23.56,-1264.1,0.8,9.78,9.78,9.78,6.31,300.98,0,0,0,-2.5,-20.6,71.57,0,0,0,-2.13,161.74,919.34
A035080,인터파크,424.6778091,0.5127,경기관련소비재,소매(유통),인터넷과카탈로그소매,,6980,8730,4380,6190,-0.0169,0.0341,-0.0127,0.0295,0.2182,0.0295,3031.062499,3180.950612,3378.498946,3028.373614,168.25,-652.36,-1767.28,59786.77,70526.63,72664.51,-4.24,75.18,-600.98,5694.6,4820.88,6214.58,-1.7,-914.47,-4347.77,35522.88,38540.34,36924.39,212.79,687.22,1985.67,7673.95,16127.77,18149.77,-3.18,-40.69,-163.7,-61442.48,-63316.24,-62508.78,-406.87,-134.86,-64.86,806.24,-686.73,-7942.85
A035150,백산,104.544,0.3953,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,4320,4740,2120,3281,-0.0023,0.0165,-0.0421,0.1551,0.4744,0.615,563.938141,297.578444,435.850396,562.182919,64.98,232.64,114.64,1147.02,1023.6,-2311.31,0,0,-613.03,1763.47,1763.25,1064.38,64.98,190.14,501.74,-1826.51,-1893.21,-3020.55,0,0,0,322.81,322.81,119.28,0,0,-6.12,-493.92,-170.25,-428.72,0.97,-15.66,31.51,1223.56,1138.26,1034.3
A035200,프럼파스트,14.0756,0.7644,산업재,자본재,건축제품,,2285,7980,1870,3837,-0.0087,0.0653,-0.1615,-0.456,-0.4487,-0.0499,1379.824285,136.875815,233.253165,1376.117551,0,0,0,0,0,-0.02,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,0,0,-0.29,0.11,-1.68,-110.93,6.43,-31.14,40.46,5.15,-37.75,34.52
A035210,티브로드도봉강북방송,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.62,164.23,7236.16,0,0,0,-20.55,-201.61,7018.35,0,0,0,-17.07,-17.07,-280.02,0,0,0,0,0,0,0,0,0,427.74,616.69,849.14,0,0,0,-25.94,-25.86,-29.65
A035250,강원랜드,6257.759625,0.5855,경기관련소비재,"호텔,레스토랑,레저등","호텔,레스토랑,레저",,29250,31900,22300,25467,-0.0135,-0.0426,-0.041,0.17,0.2112,0.0754,12223.97873,12976.8839,15220.28005,12204.23557,-287.51,21407.3,25149.65,17229.86,-20621.47,-10078.3,-288.02,2638.79,5077.94,3424.71,18110.97,17167.13,87.46,-1016.94,950.37,-2866.37,-26565.38,-9769.41,32.48,3238.02,4010.18,1027.46,-9481.69,-2862.39,0,-15761.81,-14856.36,-16640.15,-15494.01,-15869.28,-276.4,2205.25,8716.13,77083.55,97952.6,47039.66
A035290,에듀박스,34.10033726,0.8348,경기관련소비재,교육서비스,교육서비스,,476,1204,405,646,0.0085,0.0171,0.0106,-0.2323,-0.2917,0.128,3328.39601,363.142868,381.708796,3315.921345,0,0,-154.92,-870.52,-870.53,-870.53,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-0.02,20.53,19.49,30.72,-7.29,-20.41,-6.96,-233.17,408.18,87.53
A035420,NHN,10924.98881,0.8116,IT,소프트웨어와서비스,인터넷소프트웨어와서비스,,227000,292500,207000,248064,0.0089,0,-0.1133,-0.2186,-0.0735,0.081,51677.43611,48829.8842,74804.82266,51574.05199,10129.32,6310.12,-221890.53,318747.76,661124.76,900058.75,-1733.15,-433.29,8661.45,48611.22,66063.62,28427.58,-2734.98,-17582.2,-154809.41,26685.69,217236.91,274393.27,11363.83,19765.44,-14677.86,170626.95,236236.73,369861.94,-329.14,-1220.62,80146.16,118100.85,127281.42,9429.67,-6783.19,43278.35,61613.74,-671151.92,-990478.09,-908584.35
A035450,지아이바이오,16.20600529,0.8869,IT,소프트웨어와서비스,IT서비스,,226,1620,166,534,0.0044,0.0463,0.2914,-0.3722,-0.3892,-0.8498,1973.371638,138.554372,211.243862,2013.668633,0,0,0,0,0,-0.67,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0.39,-224.86,-352.41,-852.17,0,0,-0.34,3.86,-246.11,602.67
A035460,기산텔레콤,27.6710662,0.598,IT,기술하드웨어와장비,통신장비,,1930,2575,1680,1941,-0.0203,0.0693,0.0752,-0.0585,0.0432,0.0212,518.923294,375.461489,201.444023,517.248751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94,0.57,5.28,-11.03,2.88,-67.01,-21.79
A035480,제이비어뮤즈먼트,76.0522122,0.8499,IT,전자와 전기제품,전자제품,,5300,9680,1195,3128,0.0134,-0.0185,0,-0.0718,2.4528,2.985,851.183742,449.773597,736.853144,847.957647,0,0,0,-1.29,4.97,4.97,0,0,0,-0.11,-0.11,-0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-187.75,-294.3,-683.33,-1068.81,29.54,138.43,-92.76,-18.04,-2239.95,-2244.95
